"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11800","Place Order Register while Checkout","","2026-02-26","passed","2026-02-26","","Checkout Flow","",""
"","4622","Search Products and Verify Cart After Login","","2026-02-26","passed","2026-02-26","","Cart Actions","",""
"","976","Verify All Products and product detail page","","2026-02-26","passed","2026-02-26","","Products Browsing","",""
"","2005","Login User with correct email and password","","2026-02-26","passed","2026-02-26","","Authentication - Login and Logout","",""
"","3055","Add Products in Cart","","2026-02-26","passed","2026-02-26","","Cart Actions","",""
"","7536","Add Multiple Products, Login and Place Order","","2026-02-26","passed","2026-02-26","","Checkout Flow","",""
"","1149","Verify Scroll Up using 'Arrow' button and Scroll Down functionality","","2026-02-26","passed","2026-02-26","","Scroll Behaviour","",""
"","1078","Login User with incorrect email and password","","2026-02-26","passed","2026-02-26","","Authentication - Login and Logout","",""
"","1450","Verify Product quantity in Cart","","2026-02-26","passed","2026-02-26","","Cart Actions","",""
"","1206","View & Cart Brand Products","","2026-02-26","passed","2026-02-26","","Products Browsing","",""
"","7135","Place Order Login before Checkout","","2026-02-26","passed","2026-02-26","","Checkout Flow","",""
"","1059","Register User with existing email","","2026-02-26","passed","2026-02-26","","Authentication - Login and Logout","",""
"","1255","Verify Subscription in home page","","2026-02-26","passed","2026-02-26","","Subscription","",""
"","1275","View Category Products","","2026-02-26","passed","2026-02-26","","Products Browsing","",""
"","1863","Delete Account","","2026-02-26","passed","2026-02-26","","Authentication - Login and Logout","",""
"","2275","Remove Products From Cart","","2026-02-26","passed","2026-02-26","","Cart Actions","",""
"","1146","Search Product","","2026-02-26","passed","2026-02-26","","Products Browsing","",""
"","1865","Logout User","","2026-02-26","passed","2026-02-26","","Authentication - Login and Logout","",""
"","5794","Register User","","2026-02-26","passed","2026-02-26","","Authentication - Login and Logout","",""
"","1892","Add review on product","","2026-02-26","passed","2026-02-26","","Products Browsing","",""
